Epochs,Loss random rotations
25584,0.110581
25636,0.121342
25688,0.0800472
25740,0.119733
25792,0.0966007
25844,0.160478
25896,0.0897383
25948,0.120937
26000,0.0657811
26052,0.0818535
26104,0.0855252
26156,0.0661352
26208,0.0626678
26260,0.0848916
26312,0.0453272
26364,0.0399383
26416,0.0827423
26468,0.0643673
26520,0.0798526
26572,0.0646635
26624,0.031311
26676,0.0137314
26728,0.0298135
26780,0.0522246
26832,0.0659536
26884,0.130068
26936,0.0809971
26988,0.160884
27040,0.0211989
27092,0.0243096
27144,0.0241854
27196,0.0798409
27248,0.0520182
27300,0.0675443
27352,0.0564073
27404,0.0771421
27456,0.0405084
27508,0.0358355
27560,0.0293916
27612,0.113758
27664,0.0843914
27716,0.123085
27768,0.045154
27820,0.150267
27872,0.0285219
27924,0.0821409
27976,0.0456594
28028,0.0539274
28080,0.0238653
28132,0.0235452
28184,0.0550179
28236,0.0362799
28288,0.0840481
28340,0.0361246
28392,0.0668489
28444,0.0190458
28496,0.0480685
28548,0.0502414
28600,0.06672
28652,0.0496844
28704,0.0410904
28756,0.0479843
28808,0.0626799
28860,0.0402348
28912,0.0342208
28964,0.028275
29016,0.0235984
29068,0.0204581
29120,0.0443043
29172,0.0620969
29224,0.0316359
29276,0.0767931
29328,0.0571273
29380,0.0277237
29432,0.0724914
29484,0.105365
29536,0.0889553
29588,0.0268383
29640,0.0668818
29692,0.0175991
29744,0.0306275
29796,0.0447282
29848,0.0430108
29900,0.0814445
29952,0.0828928
30004,0.0344939
30056,0.0325948
30108,0.0234603
30160,0.0822598
30212,0.0351845
30264,0.0313481
30316,0.0214663
30368,0.0335855
30420,0.0232338
30472,0.0540939
30524,0.0479795
30576,0.0325194
30628,0.108715
30680,0.035688
30732,0.0287059
30784,0.0527594
30836,0.0557291
30888,0.0497433
30940,0.020652
30992,0.0335693
31044,0.0195545
31096,0.031787
31148,0.0266915
31200,0.0702509
31252,0.0327642
31304,0.0406801
31356,0.0264262
31408,0.0404675
31460,0.032646
31512,0.0441252
31564,0.053386
31616,0.0296288
31668,0.0311845
31720,0.031274
31772,0.0559174
31824,0.0743462
31876,0.060511
31928,0.0244268
31980,0.0616737
32032,0.0330052
32084,0.0714225
32136,0.0486154
32188,0.03726
32240,0.0296953
32292,0.0293384
32344,0.0383176
32396,0.041607
32448,0.0288622
32500,0.0145034
32552,0.0354227
32604,0.0214153
32656,0.0370974
32708,0.0608763
32760,0.0377173
32812,0.0689668
32864,0.0203728
32916,0.0503731
32968,0.0402303
33020,0.0392175
33072,0.0336138
33124,0.0105052
33176,0.0312695
33228,0.0547429
33280,0.0465796
33332,0.0198705
33384,0.0347476
33436,0.0188948
33488,0.0349751
33540,0.0331633
33592,0.0435067
33644,0.0318849
33696,0.0416735
33748,0.0518428
33800,0.0257776
33852,0.0366449
33904,0.0436222
33956,0.0361496
34008,0.0358189
34060,0.0380091
34112,0.0248246
34164,0.0483633
34216,0.0505713
34268,0.0266873
34320,0.0189603
34372,0.0375609
34424,0.0266237
34476,0.0593533
34528,0.0261273
34580,0.0521887
34632,0.0179092
34684,0.0323762
34736,0.0795001
34788,0.0200601
34840,0.029326
34892,0.0135485
34944,0.0313588
34996,0.0273409
35048,0.0153269
35100,0.0216131
35152,0.0180665
35204,0.0236456
35256,0.0177229
35308,0.0397047
35360,0.0471167
35412,0.0266169
35464,0.0212763
35516,0.0480247
35568,0.0765518
35620,0.0289089
35672,0.0188125
35724,0.0246288
35776,0.0168393
35828,0.0213021
35880,0.0143423
35932,0.0457375
35984,0.0362997
36036,0.0186542
36088,0.0246495
36140,0.0404582
36192,0.0247206
36244,0.0162042
36296,0.067072
36348,0.0183157
36400,0.0404995
36452,0.0279982
36504,0.0198399
36556,0.0385544
36608,0.0439425
36660,0.0255313
36712,0.021422
36764,0.0402368
36816,0.0119043
36868,0.0313733
36920,0.0160524
36972,0.018665
37024,0.0158693
37076,0.0773251
37128,0.0332892
37180,0.0371834
37232,0.0367766
37284,0.0400583
37336,0.0253288
37388,0.0302942
37440,0.0342928
37492,0.0134908
37544,0.026591
37596,0.0312295
37648,0.0521495
37700,0.0284218
37752,0.0291301
37804,0.0296593
37856,0.0444651
37908,0.0303984
37960,0.0175565
38012,0.022383
38064,0.0384879
38116,0.0508296
38168,0.0399347
38220,0.0434595
38272,0.0143496
38324,0.028397
38376,0.0382764
38428,0.0206783
38480,0.014418
38532,0.0202586
38584,0.0265391
38636,0.0167033
38688,0.0190675
38740,0.0705068
38792,0.028645
38844,0.031757
38896,0.0439541
38948,0.0145954
39000,0.022252
39052,0.0084231
39104,0.0344761
39156,0.0261664
39208,0.0158871
39260,0.0302427
39312,0.0273695
39364,0.0465106
39416,0.0301405
39468,0.0361313
39520,0.0261857
39572,0.0342868
39624,0.0157149
39676,0.0244446
39728,0.0267877
39780,0.0253348
39832,0.0238395
39884,0.0148999
39936,0.0415154
39988,0.0239054
